	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
3058	5406	92826	11592262	misdemeanor	other	2012-05-05	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
1546	1076	51530	11592025	misdemeanor	violent	2012-05-05	770	2916797	32.6958904109589	F	Black	2018-10-03	1	0	0
5081	1759	1064456	11592211	misdemeanor	drug	2012-05-05	908	2953487	26.27123287671233	M	Black	2018-09-26	1	0	0
5124	3321	1072559	11590817	misdemeanor	other	2012-05-07	467	6845142	55.02739726027397	M	White	2016-07-15	0	0	0
5559	2940	1297492	11590431	misdemeanor	drug	2012-05-07	33	6957590	22.775342465753425	M	White	2016-06-13	0	0	0
4575	523	915957	11587820	misdemeanor	drug	2012-05-07	70	7206185	48.07671232876712	M	mixed	2016-04-21	1	0	0
4087	5770	531993	11581458	misdemeanor	other	2012-05-10	802	5598101	52.59178082191781	M	White	2017-06-23	0	0	0
6467	5480	3381394	11573000	misdemeanor	other	2012-05-12	592	6647303	44.915068493150685			2016-09-12	0	0	0
3731	3808	332271	11573628	misdemeanor	drug	2012-05-12	539	5886184	29.42739726027397	M	Black	2017-04-15	0	0	0
1760	12	57529	11571593	felony	violent	2012-05-13	153	7224958	25.56438356164384	M	Black	2016-04-17	1	1	0
5770	2881	1448386	11566425	misdemeanor	property	2012-05-15	1	5958672	44.989041095890414	M	Black	2017-03-29	0	0	0
2779	4960	84410	11562260	misdemeanor	other	2012-05-16	517	5974264	42.84109589041096	F	Black	2017-03-24	0	0	0
2776	1339	84410	11553691	misdemeanor	other	2012-05-18	517	5974264	42.84109589041096	F	Black	2017-03-24	0	0	0
2627	1449	81823	11553662	misdemeanor	drug	2012-05-18	809	3806430	34.8986301369863	M		2018-05-07	0	0	0
5772	2886	1448386	11548168	misdemeanor	property	2012-05-21	1	5958672	44.989041095890414	M	Black	2017-03-29	0	0	0
278	1075	10237	11544109	misdemeanor	drug	2012-05-22	516	3013712	26.4986301369863	M	Black	2018-09-16	0	0	0
3160	3807	103801	11546070	felony	property	2012-05-22	997	7470210	22.88219178082192	M	Black	2016-02-12	0	1	0
4608	875	923399	11540747	misdemeanor	violent	2012-05-23	584	5674108	28.167123287671235	F	Black	2017-06-06	0	0	0
1368	700	47273	11537951	felony	drug	2012-05-24	621	7465597	23.38082191780822	M	Black	2016-02-13	1	1	1
5808	5017	1488855	11534739	misdemeanor	other	2012-05-25	245	4207288	31.80821917808219	F	mixed	2018-03-09	0	0	0
4972	3362	1055115	11537447	felony	property	2012-05-25	226	7371681	57.56164383561644	M	White	2016-03-09	1	1	0
5546	2636	1295291	11531114	misdemeanor	violent	2012-05-28	347	7149171	37.394520547945206	M	White	2016-05-09	0	0	0
5771	2885	1448386	11531158	misdemeanor	property	2012-05-28	1	5958672	44.989041095890414	M	Black	2017-03-29	0	0	0
