	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3188	2582921	2849380	felony	violent	2018-10-17
3189	1475717	2903072	misdemeanor	other	2018-10-07
3190	88044	2901631	misdemeanor	drug	2018-10-08
3191	2597745	3127257	misdemeanor	violent	2018-08-26
3192	79198	3433327	felony	property	2018-07-15
3193	1114653	3399268	misdemeanor	violent	2018-07-20
3194	1301492	3654987	misdemeanor	violent	2018-06-05
3195	75450	3043008	misdemeanor	drug	2018-09-11
3196	25060	4137593	misdemeanor	property	2018-03-23
3197	79198	3577605	misdemeanor	property	2018-06-20
3198	2559192	2830281	misdemeanor	violent	2018-10-20
3199	2572349	3990322	misdemeanor	property	2018-04-06
3200	79687	1822876	misdemeanor	property	2019-04-26
3201	87608	1562686	misdemeanor	other	2019-05-27
3202	1475717	1783046	misdemeanor	drug	2019-05-04
3203	1475717	2137124	misdemeanor	drug	2019-03-05
3204	2558637	979605	misdemeanor	other	2019-09-14
3205	1111687	9397611	misdemeanor	other	2020-12-04
3206	88417	157302	felony	drug	2020-03-02
3207	230959	5028700	misdemeanor	property	2020-09-03
3208	1111687	5550829	misdemeanor	other	2020-09-14
3209	1061804	28625834	misdemeanor	drug	2012-08-27
3210	848761	6909497	misdemeanor	property	2016-06-28
3211	860034	4444008	misdemeanor	property	2018-01-26
3212	1061804	11261725	misdemeanor	drug	2012-08-27
3213	847994	9338759	misdemeanor	drug	2014-06-17
3214	2497431	7755250	misdemeanor	drug	2015-11-16
3215	451627	6564018	felony	property	2016-10-06
3216	848761	7291919	felony	property	2016-03-31
3217	847994	6576238	felony	drug	2016-10-03
3218	883902	6973168	misdemeanor	drug	2016-06-08
3219	848761	6836171	misdemeanor	drug	2016-07-18
3220	848761	6855646	felony	property	2016-07-12
3221	2497431	5919198	felony	drug	2017-04-07
3222	2497431	5919197	felony	drug	2017-04-07
3223	845123	4954578	felony	drug	2017-10-25
3224	1061804	3381223	misdemeanor	drug	2018-07-24
3225	43443	3450510	misdemeanor	violent	2018-07-12
3226	1435646	10584677	misdemeanor	property	2013-04-26
3227	1435646	9897646	misdemeanor	property	2013-12-16
3228	847994	9099585	misdemeanor	drug	2014-09-04
3229	860034	7841248	misdemeanor	property	2015-10-20
3230	1075503	6623957	misdemeanor	property	2016-09-19
3231	847667	6824527	misdemeanor	property	2016-07-21
3232	2134220	6403657	misdemeanor	property	2016-11-20
3233	1075503	7174383	misdemeanor	property	2016-05-02
3234	848761	7254175	misdemeanor	property	2016-04-11
3235	883902	5460025	misdemeanor	property	2017-07-25
3236	2455042	5469978	misdemeanor	property	2017-07-24
3237	2455042	5564167	misdemeanor	property	2017-07-03
3238	860034	5036164	misdemeanor	property	2017-10-11
3239	1074774	5239373	misdemeanor	property	2017-09-06
3240	1431898	5336569	misdemeanor	property	2017-08-18
